frq,I,Q,Mdiv,Ref,dac,Kdiv,I_offset,Q_offset,Z_real,Z_imag,Z_mag,Z_angle
131328.0,-324.0,-16792.0,1082130432,32768,128,1,-416.89115646258506,-18080.190476190477,31.80224970137538,-1581.6544889625393,1581.974179796061,-88.84811176996065
131328.0,245.0,-17201.0,1082130432,32768,128,1,152.10884353741497,-18489.190476190477,51.38810981651466,-1681.3339443990187,1682.1190714152422,-88.24936294259804
131328.0,-573.0,-17635.0,1082130432,32768,128,1,-665.8911564625851,-18923.190476190477,25.79750883720466,-1630.0400050471308,1630.2441318760377,-89.09329526529787
131328.0,-451.0,-17553.0,1082130432,32768,128,1,-543.8911564625851,-18841.190476190477,29.570831020995023,-1636.135305991665,1636.4025096411065,-88.96457257395546
131328.0,378.0,-17060.0,1082130432,32768,128,1,285.10884353741494,-18348.190476190477,55.37206417491854,-1683.332827260061,1684.2432938332697,-88.11597445978462
131328.0,35.0,-16701.0,1082130432,32768,128,1,-57.89115646258503,-17989.190476190477,43.28310899539956,-1613.1213083779796,1613.7018879171558,-88.46301417699624
131328.0,361.0,-16862.0,1082130432,32768,128,1,268.10884353741494,-18150.190476190477,54.32039870394301,-1663.6294228226748,1664.5160144007812,-88.12985740952693
131328.0,-1094.0,-16180.0,1082130432,32768,128,1,-1186.891156462585,-17468.190476190477,5.150712922399428,-1441.4947231673789,1441.5039253373566,-89.79527302373064
131328.0,-381.0,-16931.0,1082130432,32768,128,1,-473.89115646258506,-18219.190476190477,30.29213557843638,-1587.8713914093846,1588.1603096458107,-88.90708969004987
131328.0,-51.0,-16807.0,1082130432,32768,128,1,-143.89115646258503,-18095.190476190477,40.744249357378564,-1613.1636371962281,1613.6781011799906,-88.55316766984204
131328.0,145.0,-17795.0,1082130432,32768,128,1,52.10884353741497,-19083.190476190477,49.61799826417378,-1723.7629498292436,1724.4769215491863,-88.35121348428935
131328.0,-1411.0,-16550.0,1082130432,32768,128,1,-1503.891156462585,-17838.190476190477,-4.259672581182961,-1439.7853016148322,1439.7916028219543,-90.16951176585142
131328.0,558.0,-17454.0,1082130432,32768,128,1,465.10884353741494,-18742.190476190477,62.232397985239906,-1738.6884317191143,1739.801808814115,-87.95010297299844
131328.0,-480.0,-17696.0,1082130432,32768,128,1,-572.8911564625851,-18984.190476190477,28.98402605459739,-1645.8055213906027,1646.0607182015272,-88.99107719820056
131328.0,520.0,-17814.0,1082130432,32768,128,1,427.10884353741494,-19102.190476190477,61.896936145789795,-1766.9003075929259,1767.9841423712521,-87.9936708742708
131328.0,-691.0,-17370.0,1082130432,32768,128,1,-783.8911564625851,-18658.190476190477,21.283327121435555,-1593.1471484009535,1593.2893072105417,-89.23461415228748
131328.0,859.0,-16786.0,1082130432,32768,128,1,766.1088435374149,-18074.190476190477,70.37263204240853,-1711.8021993712803,1713.2481072842102,-87.64588125389778
131328.0,375.0,-16990.0,1082130432,32768,128,1,282.10884353741494,-18278.190476190477,55.09844253865819,-1676.6995078070697,1677.6045653999204,-88.11786632327971
131328.0,-424.0,-15859.0,1082130432,32768,128,1,-516.8911564625851,-17147.190476190477,26.197801684028626,-1486.6119441368246,1486.8427614456564,-88.99041029376481
131328.0,-89.0,-17703.0,1082130432,32768,128,1,-181.89115646258503,-18991.190476190477,41.75469737073993,-1689.630097835713,1690.1459470308603,-88.58437588805153
131328.0,-218.0,-16281.0,1082130432,32768,128,1,-310.89115646258506,-17569.190476190477,33.976476053083495,-1547.3605714464254,1547.7335490942858,-88.74211871195645
131328.0,-298.0,-16898.0,1082130432,32768,128,1,-390.89115646258506,-18186.190476190477,32.91645027600308,-1594.0696342230167,1594.4094491223623,-88.81704936265903
131328.0,103.0,-16412.0,1082130432,32768,128,1,10.10884353741497,-17700.190476190477,44.77535194107549,-1594.6155117027238,1595.244013404967,-88.391609284539
131328.0,-576.0,-17775.0,1082130432,32768,128,1,-668.8911564625851,-19063.190476190477,26.051202628351795,-1642.3123997747202,1642.5190055558517,-89.09122114042971
131328.0,708.0,-17798.0,1082130432,32768,128,1,615.1088435374149,-19086.190476190477,67.9886822320762,-1786.2285283976705,1787.5219765287816,-87.82022014062552
131328.0,-835.0,-16193.0,1082130432,32768,128,1,-927.8911564625851,-17481.190476190477,13.63105800013193,-1471.277214925022,1471.3403579388869,-89.46918246210232
131328.0,681.0,-17297.0,1082130432,32768,128,1,588.1088435374149,-18585.190476190477,65.85000983971197,-1738.142163460247,1739.3890893627447,-87.83037073195845
131328.0,-1066.0,-16734.0,1082130432,32768,128,1,-1158.891156462585,-18022.190476190477,7.4550862935794555,-1494.4630018305165,1494.4815964580905,-89.71418399993075
