frq I Q Mdiv Clk DAC Kdiv
4104.00 -11815.00 11127.00 1082130432 32768 128 32
131328.00 -2044.00 1260.00 1082130432 32768 128 1
4104.00 -12012.00 11145.00 1082130432 32768 128 32
131328.00 -1928.00 1132.00 1082130432 32768 128 1
4104.00 -12011.00 11182.00 1082130432 32768 128 32
131328.00 -1924.00 1133.00 1082130432 32768 128 1
4104.00 -11826.00 10989.00 1082130432 32768 128 32
131328.00 -1996.00 1209.00 1082130432 32768 128 1
4104.00 -11894.00 11218.00 1082130432 32768 128 32
131328.00 -1910.00 1164.00 1082130432 32768 128 1
4104.00 -11995.00 11148.00 1082130432 32768 128 32
131328.00 -1971.00 1172.00 1082130432 32768 128 1
4104.00 -11889.00 11138.00 1082130432 32768 128 32
131328.00 -2302.00 1518.00 1082130432 32768 128 1
4104.00 -11747.00 11077.00 1082130432 32768 128 32
131328.00 -1977.00 1207.00 1082130432 32768 128 1
4104.00 -12029.00 11168.00 1082130432 32768 128 32
131328.00 -1925.00 1139.00 1082130432 32768 128 1
4104.00 -11904.00 11061.00 1082130432 32768 128 32
131328.00 -2040.00 1265.00 1082130432 32768 128 1
4104.00 -11829.00 11130.00 1082130432 32768 128 32
131328.00 -2013.00 1259.00 1082130432 32768 128 1
4104.00 -11902.00 11106.00 1082130432 32768 128 32
131328.00 -2004.00 1217.00 1082130432 32768 128 1
4104.00 -11960.00 11094.00 1082130432 32768 128 32
131328.00 -2069.00 1285.00 1082130432 32768 128 1
4104.00 -11933.00 11174.00 1082130432 32768 128 32
131328.00 -1915.00 1123.00 1082130432 32768 128 1
4104.00 -11950.00 11108.00 1082130432 32768 128 32
131328.00 -2014.00 1202.00 1082130432 32768 128 1
4104.00 -11818.00 11144.00 1082130432 32768 128 32
131328.00 -2061.00 1297.00 1082130432 32768 128 1
4104.00 -11724.00 10889.00 1082130432 32768 128 32
131328.00 -1915.00 1127.00 1082130432 32768 128 1
4104.00 -11905.00 11169.00 1082130432 32768 128 32
131328.00 -1904.00 1111.00 1082130432 32768 128 1
4104.00 -11982.00 11188.00 1082130432 32768 128 32
131328.00 -1914.00 1151.00 1082130432 32768 128 1
4104.00 -11902.00 11188.00 1082130432 32768 128 32
131328.00 -1890.00 1140.00 1082130432 32768 128 1
4104.00 -11789.00 11128.00 1082130432 32768 128 32
131328.00 -2008.00 1253.00 1082130432 32768 128 1
4104.00 -12005.00 11177.00 1082130432 32768 128 32
131328.00 -2001.00 1204.00 1082130432 32768 128 1
4104.00 -11756.00 11094.00 1082130432 32768 128 32
131328.00 -1885.00 1165.00 1082130432 32768 128 1
4104.00 -11779.00 11090.00 1082130432 32768 128 32
131328.00 -1955.00 1201.00 1082130432 32768 128 1
4104.00 -11755.00 11078.00 1082130432 32768 128 32
131328.00 -1951.00 1187.00 1082130432 32768 128 1
4104.00 -11536.00 10854.00 1082130432 32768 128 32
131328.00 -2025.00 1268.00 1082130432 32768 128 1
4104.00 -11979.00 11121.00 1082130432 32768 128 32
131328.00 -2017.00 1225.00 1082130432 32768 128 1
4104.00 -11874.00 11198.00 1082130432 32768 128 32
131328.00 -1973.00 1200.00 1082130432 32768 128 1
4104.00 -12012.00 11165.00 1082130432 32768 128 32
131328.00 -1994.00 1214.00 1082130432 32768 128 1
4104.00 -12011.00 11144.00 1082130432 32768 128 32
131328.00 -1987.00 1199.00 1082130432 32768 128 1
4104.00 -12022.00 11195.00 1082130432 32768 128 32
131328.00 -1916.00 1106.00 1082130432 32768 128 1
4104.00 -11870.00 11146.00 1082130432 32768 128 32
131328.00 -2026.00 1251.00 1082130432 32768 128 1
4104.00 -11857.00 11166.00 1082130432 32768 128 32
131328.00 -2009.00 1263.00 1082130432 32768 128 1
4104.00 -11882.00 11173.00 1082130432 32768 128 32
131328.00 -2082.00 1303.00 1082130432 32768 128 1
4104.00 -11957.00 11113.00 1082130432 32768 128 32
131328.00 -2353.00 1569.00 1082130432 32768 128 1
4104.00 -11974.00 11131.00 1082130432 32768 128 32
131328.00 -1909.00 1117.00 1082130432 32768 128 1
4104.00 -12003.00 11159.00 1082130432 32768 128 32
131328.00 -1951.00 1127.00 1082130432 32768 128 1
4104.00 -11877.00 11194.00 1082130432 32768 128 32
131328.00 -1880.00 1109.00 1082130432 32768 128 1
4104.00 -11763.00 11109.00 1082130432 32768 128 32
131328.00 -1998.00 1225.00 1082130432 32768 128 1
4104.00 -11837.00 11175.00 1082130432 32768 128 32
131328.00 -1893.00 1130.00 1082130432 32768 128 1
4104.00 -11795.00 11118.00 1082130432 32768 128 32
131328.00 -1967.00 1221.00 1082130432 32768 128 1
4104.00 -11978.00 11168.00 1082130432 32768 128 32
131328.00 -1919.00 1138.00 1082130432 32768 128 1
4104.00 -11791.00 11103.00 1082130432 32768 128 32
131328.00 -2033.00 1256.00 1082130432 32768 128 1
4104.00 -11776.00 11093.00 1082130432 32768 128 32
131328.00 -2175.00 1445.00 1082130432 32768 128 1
4104.00 -11934.00 11091.00 1082130432 32768 128 32
131328.00 -2051.00 1245.00 1082130432 32768 128 1
4104.00 -11799.00 11142.00 1082130432 32768 128 32
131328.00 -1918.00 1140.00 1082130432 32768 128 1
4104.00 -11993.00 11185.00 1082130432 32768 128 32
131328.00 -1908.00 1127.00 1082130432 32768 128 1
4104.00 -11796.00 11132.00 1082130432 32768 128 32
131328.00 -1989.00 1249.00 1082130432 32768 128 1
4104.00 -11780.00 11118.00 1082130432 32768 128 32
131328.00 -2017.00 1243.00 1082130432 32768 128 1
4104.00 -12004.00 11160.00 1082130432 32768 128 32
131328.00 -1931.00 1169.00 1082130432 32768 128 1
4104.00 -12019.00 11168.00 1082130432 32768 128 32
131328.00 -1916.00 1131.00 1082130432 32768 128 1
4104.00 -11787.00 11076.00 1082130432 32768 128 32
131328.00 -1998.00 1205.00 1082130432 32768 128 1
4104.00 -11995.00 11147.00 1082130432 32768 128 32
131328.00 -2053.00 1266.00 1082130432 32768 128 1
4104.00 -11699.00 10838.00 1082130432 32768 128 32
131328.00 -1956.00 1163.00 1082130432 32768 128 1
4104.00 -11819.00 11120.00 1082130432 32768 128 32
131328.00 -2024.00 1260.00 1082130432 32768 128 1
4104.00 -11820.00 11128.00 1082130432 32768 128 32
131328.00 -2048.00 1290.00 1082130432 32768 128 1
4104.00 -11926.00 11173.00 1082130432 32768 128 32
131328.00 -2114.00 1339.00 1082130432 32768 128 1
4104.00 -11984.00 11173.00 1082130432 32768 128 32
131328.00 -1902.00 1112.00 1082130432 32768 128 1
4104.00 -11792.00 11111.00 1082130432 32768 128 32
131328.00 -2042.00 1292.00 1082130432 32768 128 1
4104.00 -11875.00 11183.00 1082130432 32768 128 32
131328.00 -1990.00 1206.00 1082130432 32768 128 1
4104.00 -12008.00 11149.00 1082130432 32768 128 32
131328.00 -1933.00 1150.00 1082130432 32768 128 1
4104.00 -11766.00 11096.00 1082130432 32768 128 32
131328.00 -2082.00 1311.00 1082130432 32768 128 1
