T frq I Q
22888.0 131328 19.2 -4.83
22920.0 4104 37.44 -26.21
22982.0 4104 37.63 -26.25
22951.0 131328 19.19 -4.99
23013.0 131328 19.16 -5.05
23044.0 4104 37.64 -26.31
23076.0 131328 19.14 -4.95
23107.0 4104 37.53 -26.23
23169.0 4104 37.6 -26.25
23138.0 131328 19.02 -5.14
23200.0 131328 19.16 -5.0
23231.0 4104 37.55 -26.15
23294.0 4104 37.47 -26.19
23356.0 4104 37.6 -26.21
23263.0 131328 19.19 -5.1
23325.0 131328 19.12 -5.03
23419.0 4104 37.53 -26.25
23387.0 131328 19.1 -5.18
23481.0 4104 37.56 -26.27
23450.0 131328 19.17 -4.96
23512.0 131328 19.2 -4.97
23543.0 4104 37.51 -26.16
23606.0 4104 37.58 -26.17
23575.0 131328 19.2 -4.85
23637.0 131328 19.21 -4.93
23668.0 4104 37.5 -26.11
23730.0 4104 37.53 -26.43
23699.0 131328 19.27 -4.7
23762.0 131328 19.17 -5.07
23793.0 4104 37.64 -26.42
23824.0 131328 19.19 -4.83
23855.0 4104 37.58 -26.44
23918.0 4104 37.47 -26.19
23886.0 131328 19.15 -4.96
23980.0 4104 37.58 -26.43
23949.0 131328 19.1 -4.93
24011.0 131328 19.12 -5.01
24042.0 4104 37.54 -26.43
24074.0 131328 19.1 -4.97
24105.0 4104 37.54 -26.18
24167.0 4104 37.54 -26.21
24136.0 131328 19.29 -5.06
24198.0 131328 19.26 -4.96
24230.0 4104 37.5 -26.14
24292.0 4104 37.63 -26.21
24354.0 4104 37.56 -26.3
24261.0 131328 19.14 -5.12
24323.0 131328 19.16 -4.83
24385.0 131328 19.22 -5.0
24417.0 4104 37.54 -26.26
24479.0 4104 37.51 -26.07
24448.0 131328 19.2 -4.95
24510.0 131328 19.19 -5.09
24541.0 4104 37.54 -26.31
24604.0 4104 37.58 -26.27
24573.0 131328 19.1 -4.89
24635.0 131328 19.18 -5.12
24666.0 4104 37.56 -26.27
24697.0 131328 19.22 -4.93
24729.0 4104 37.52 -26.3
24791.0 4104 37.48 -26.02
24760.0 131328 19.26 -4.99
24822.0 131328 19.21 -4.95
24853.0 4104 37.54 -26.4
24884.0 131328 19.16 -5.04
24916.0 4104 37.62 -26.33
24978.0 4104 37.5 -26.17
24947.0 131328 19.08 -4.94
25009.0 131328 19.15 -5.0
25040.0 4104 37.48 -26.23
25103.0 4104 37.53 -26.19
25165.0 4104 37.69 -26.43
25072.0 131328 19.25 -5.03
25134.0 131328 19.23 -4.85
25228.0 4104 37.51 -26.09
25290.0 4104 37.56 -26.3
25196.0 131328 19.19 -4.81
25259.0 131328 19.18 -4.91
25321.0 131328 19.18 -4.94
25352.0 4104 37.64 -26.39
25415.0 4104 37.55 -26.25
25384.0 131328 19.15 -4.91
25477.0 4104 37.49 -26.24
25446.0 131328 19.23 -4.75
25539.0 4104 37.6 -26.41
25602.0 4104 37.58 -26.24
25508.0 131328 19.14 -5.03
25571.0 131328 19.16 -4.97
25633.0 131328 19.16 -5.05
25664.0 4104 37.54 -26.28
25695.0 131328 19.27 -4.87
25727.0 4104 37.57 -26.21
25789.0 4104 37.64 -26.43
25758.0 131328 19.16 -4.97
25820.0 131328 19.24 -4.79
25851.0 4104 37.58 -26.41
25914.0 4104 37.54 -26.39
25883.0 131328 19.14 -5.01
25976.0 4104 37.53 -26.29
25945.0 131328 19.18 -4.88
26007.0 131328 19.21 -4.98
26038.0 4104 37.43 -26.2
26070.0 131328 19.19 -5.01
26101.0 4104 37.62 -26.25
