frq,I,Q,Mdiv,Ref,dac,Kdiv,I_offset,Q_offset,Z_real,Z_imag,Z_mag,Z_angle
4104.0,5226.0,4243.0,1082130432,32768,128,32,6100.231292517006,4200.319727891157,125.48373114010397,-37.56426710775541,130.98565167293972,-16.665369358366842
4104.0,6600.0,5254.0,1082130432,32768,128,32,7474.231292517006,5211.319727891157,154.64034123477242,-45.31027672098461,161.14172741329,-16.330808592834586
4104.0,4815.0,4017.0,1082130432,32768,128,32,5689.231292517006,3974.3197278911566,117.81316243563015,-34.4059063462914,122.73429689615674,-16.279804291246776
4104.0,6138.0,6645.0,1082130432,32768,128,32,7012.231292517006,6602.319727891157,168.64194929964222,-23.648685102816188,170.29200618547912,-7.982542871811436
4104.0,6056.0,4386.0,1082130432,32768,128,32,6930.231292517006,4343.319727891157,136.66405210478632,-47.3928714143748,144.64835774594613,-19.1257143896384
4104.0,6533.0,5604.0,1082130432,32768,128,32,7407.231292517006,5561.319727891157,158.71007608295955,-40.53642591895409,163.8050367862407,-14.327703410650182
4104.0,4486.0,8776.0,1082130432,32768,128,32,5360.231292517006,8733.319727891156,179.61069142002137,22.508882087859206,181.01560773928665,7.143090275061725
4104.0,5730.0,3826.0,1082130432,32768,128,32,6604.231292517006,3783.3197278911566,125.34360821480416,-49.07950099480509,134.60987162242373,-21.383307182674397
4104.0,5695.0,4218.0,1082130432,32768,128,32,6569.231292517006,4175.319727891157,130.34618742215287,-44.28287888457535,137.66300133949198,-18.76431050040296
4104.0,5455.0,4070.0,1082130432,32768,128,32,6329.231292517006,4027.3197278911566,125.64657647550635,-42.61505609984481,132.67669420967718,-18.735192995262867
4104.0,8071.0,7083.0,1082130432,32768,128,32,8945.231292517006,7040.319727891157,196.1235399948023,-45.38304952409479,201.30589689375535,-13.028942431341598
4104.0,6143.0,5126.0,1082130432,32768,128,32,7017.231292517006,5083.319727891157,147.80691239688673,-40.44100014588285,153.23954399925708,-15.302021256505833
4104.0,4735.0,4171.0,1082130432,32768,128,32,5609.231292517006,4128.319727891157,119.04303316940211,-31.611341398692538,123.16866748973159,-14.871426943843959
4104.0,4677.0,7161.0,1082130432,32768,128,32,5551.231292517006,7118.319727891157,159.52013280866169,2.104276120012429,159.53401126180685,0.7557613322676998
4104.0,6052.0,6061.0,1082130432,32768,128,32,6926.231292517006,6018.319727891157,159.65563048507784,-28.896793195825154,162.2496379120459,-10.259157313680472
4104.0,7295.0,5018.0,1082130432,32768,128,32,8169.231292517006,4975.319727891157,159.10973309768758,-57.45682769672266,169.16617337809666,-19.855384859809906
4104.0,6509.0,6058.0,1082130432,32768,128,32,7383.231292517006,6015.319727891157,164.68743926987653,-35.208330819462404,168.4089641686629,-12.067533433600417
4104.0,7487.0,5358.0,1082130432,32768,128,32,8361.231292517006,5315.319727891157,165.91704783793674,-56.3513527309539,175.2254026043729,-18.75932118107114
4104.0,7630.0,7953.0,1082130432,32768,128,32,8504.231292517006,7910.319727891157,203.19304319806997,-29.745982375663033,205.3587988657559,-8.328525547039341
4104.0,6716.0,5559.0,1082130432,32768,128,32,7590.231292517006,5516.319727891157,160.12264602993184,-43.54601030766478,165.93829210083516,-15.213878044995404
4104.0,5973.0,4557.0,1082130432,32768,128,32,6847.231292517006,4514.319727891157,138.09441844982211,-44.369927225746245,145.0474365475398,-17.81228355686982
4104.0,6629.0,8062.0,1082130432,32768,128,32,7503.231292517006,8019.319727891157,193.58019667035967,-14.793663405159663,194.1446497328224,-4.3701275376894
4104.0,7343.0,8320.0,1082130432,32768,128,32,8217.231292517006,8277.319727891156,205.0543992696272,-21.762491068725552,206.20599573568185,-6.058142316394427
4104.0,6759.0,7892.0,1082130432,32768,128,32,7633.231292517006,7849.319727891157,192.68532092080642,-18.45130893245077,193.56674223552687,-5.46989476827269
